id,height,latitude,longitude,name,Bundesland
3031,92,51.6336,8.3945,Lippstadt-Bˆkenfˆrde,Nordrhein-Westfalen
3032,25,55.011,8.4125,List,auf
3034,496,50.4505,11.635,"Lobenstein,",Bad
3042,230,50.5617,8.2386,Lˆhnberg-Obershausen,Hessen
3044,22,52.7198,7.7472,Lˆningen,Niedersachsen
3083,57,51.9267,13.8797,L¸bben-Blumenfelde,Brandenburg
3085,15,53.8773,10.6915,L¸beck,Schleswig-Holstein
3086,15,53.8025,10.6989,L¸beck-Blankensee,Schleswig-Holstein
3093,16,52.9724,11.1374,L¸chow,Niedersachsen
3097,421,51.2,7.6333,L¸denscheid,(Flugplatz)
3098,387,51.2452,7.6425,L¸denscheid,Nordrhein-Westfalen
3126,79,52.1029,11.5827,Magdeburg,Sachsen-Anhalt
3137,195,49.9656,8.2139,Mainz-Lerchenberg,(ZDF)
3147,390,48.7548,12.2118,Mallersdorf-Pfaffenberg-Oberlindhart,Bayern
3155,413,50.1015,6.8009,Manderscheid-Sonnenhof,Rheinland-Pfalz
3158,12,52.5468,14.5453,Manschnow,Brandenburg
3164,187,50.8492,8.7745,"Cˆlbe,",Kr.
3166,639,50.6511,13.1469,Marienberg,Sachsen
3167,547,50.6621,7.9603,"Marienberg,",Bad
3170,9,54.4937,11.2411,Marienleuchte,Schleswig-Holstein
3175,504,50.5219,12.8282,Raschau,Sachsen
3181,360,49.4875,10.6277,Markt,Erlbach-Hagenhofen
3196,81,53.3222,11.9321,Marnitz,Mecklenburg-Vorpommern
3204,429,50.7335,10.8815,Martinroda,Th¸ringen
3226,107,51.7259,11.5109,Aschersleben-Mehringen,Sachsen-Anhalt
3231,450,50.5611,10.3771,Meiningen,Th¸ringen
3234,158,51.1294,13.4328,Garsebach,bei
3244,614,47.9821,10.1384,Memmingen,Bayern
3245,630,47.9833,10.2333,Memmingen,(Flugplatz)
3246,181,50.3667,7.3167,Mendig,Rheinland-Pfalz
3254,19,52.7155,7.3176,Meppen,Niedersachsen
3257,251,49.4773,9.7622,"Mergentheim,",Bad-Neunkirchen
3268,900,48.1694,8.9433,Meﬂstetten-Appental,Baden-W¸rttemberg
3271,314,48.8548,12.9189,Metten,Bayern
3278,354,48.5377,9.2734,Metzingen,Baden-W¸rttemberg
3284,240,49.6692,9.0085,Michelstadt,Hessen
3287,453,49.7177,9.0997,Michelstadt-Vielbrunn,Hessen
3289,356,50.7281,11.7838,Schmieritz-Weltwitz,Th¸ringen
3307,984,47.4779,11.2653,Mittenwald-Buckelwiesen,Bayern
3319,239,49.7644,9.253,Rˆllbach,Bayern
3340,265,50.4383,7.8061,Montabaur,Rheinland-Pfalz
3348,240,51.7209,9.8352,Moringen-Lutterbeck,Niedersachsen
3362,243,48.9721,8.8735,M¸hlacker,Baden-W¸rttemberg
3366,406,48.279,12.5024,M¸hldorf,Bayern
3376,63,52.5176,14.1232,M¸ncheberg,Brandenburg
3379,515,48.1632,11.5429,M¸nchen-Stadt,Bayern
3390,529,48.1369,11.7094,M¸nchen-Riem,Bayern
3402,755,48.3851,9.4837,M¸nsingen-Apfelstetten,Baden-W¸rttemberg
3404,62,51.9494,7.5906,M¸nster,Nordrhein-Westfalen
3426,127,51.566,14.7008,"Muskau,",Bad
3442,149,50.3574,8.7506,"Nauheim,",Bad
3478,81,53.5468,13.1914,Neubrandenburg,Mecklenburg-Vorpommern
3484,380,48.7085,11.2147,Neuburg/Donau,(Flugplatz)
3485,486,48.3115,10.3773,Neuburg/Kammel-Langenhaslach,Bayern
3490,111,50.5346,7.0853,"Neuenahr,",Bad-Ahrweiler
3509,78,53.102,13.0421,Menz,Brandenburg
3513,845,50.5003,11.1345,Neuhaus,am
3518,793,47.976,8.9101,Neuhausen,ob
3527,500,50.8923,9.405,Neukirchen-Hauptschwenda,Hessen
3538,20,54.0833,9.9333,Neum¸nster-Wasbek,Schleswig-Holstein
3540,195,50.8446,7.372,Neunkirchen-Seelscheid-Krawinkel,Nordrhein-Westfalen
3545,236,49.344,7.2297,Neunkirchen-Wellesweiler,Saarland
3552,38,52.9037,12.8072,Neuruppin,Brandenburg
3571,452,49.8174,11.8638,Neustadt,am
3575,163,49.357,8.1405,Neustadt/Weinstraﬂe,Rheinland-Pfalz
3591,350,50.6743,6.424,Nideggen-Schmidt,Nordrhein-Westfalen
3603,459,49.3895,9.9666,Niederstetten,Baden-W¸rttemberg
3612,25,52.6711,9.2229,Nienburg,Niedersachsen
3621,435,48.8253,10.5067,Reimlingen,Bayern
3623,110,50.8294,6.6601,Nˆrvenich,(Flugplatz)
3631,12,53.7123,7.1519,Norderney,Niedersachsen
3639,26,53.7647,8.6584,Nordholz,(Flugplatz)
3659,627,50.3391,6.9501,N¸rburg,Rheinland-Pfalz
